% -----------------------------------------------------------------------------
% MACRO       UNICODE CHARACTER      UNICODE HEX VALUE
% -----------------------------------------------------------------------------
% =============================================================================
% LETTERS (SETS: BASE,FULL)

\AA                   Å              C5
\nsucc              ⊁             2281
\subset             ⊂             2282
\supset             ⊃             2283
\subseteq           ⊆             2286
\supseteq           ⊇             2287
\nsubseteq          ⊈             2288
\nsupseteq          ⊉             2289
\subsetneq          ⊊             228A
\supsetneq          ⊋             228B
\uplus              ⊎             228E
\sqsubset           ⊏             228F
\sqsupset           ⊐             2290
\sqsubseteq         ⊑             2291
\sqsupseteq         ⊒             2292
\sqcap              ⊓             2293
\sqcup              ⊔             2294
\oplus              ⊕             2295
\ominus             ⊖             2296
\otimes             ⊗             2297
\oslash             ⊘             2298
\odot               ⊙             2299
\circledcirc        ⊚             229A
\circledast         ⊛             229B
\circleddash        ⊝             229D
\boxplus            ⊞             229E
\boxminus           ⊟             229F
\boxtimes           ⊠             22A0
\boxdot             ⊡             22A1
\vdash              ⊢             22A2
\dashv              ⊣             22A3
\top                ⊤             22A4
\bot                ⊥             22A5
\Vdash              ⊩             22A9
\Vvdash             ⊪             22AA
\nVdash             ⊮             22AE
\lhd                ⊲             22B2
\rhd                ⊳             22B3
\unlhd              ⊴             22B4
\unrhd              ⊵             22B5
\multimap           ⊸             22B8
\intercal           ⊺             22BA
\veebar             ⊻             22BB
\barwedge           ⊼             22BC
\bigwedge           ⋀             22C0
\bigvee             ⋁             22C1
\bigcap             ⋂             22C2
\bigcup             ⋃             22C3
\diamond            ⋄             22C4
\cdot               ⋅             22C5
\star               ⋆             22C6
\divideontimes      ⋇             22C7
\bowtie             ⋈             22C8
\ltimes             ⋉             22C9
\rtimes             ⋊             22CA
\leftthreetimes     ⋋             22CB
\rightthreetimes    ⋌             22CC
\backsimeq          ⋍             22CD
\curlyvee           ⋎             22CE
\curlywedge         ⋏             22CF
\Subset             ⋐             22D0
\Supset             ⋑             22D1
\Cap                ⋒             22D2
\Cup                ⋓             22D3
\pitchfork          ⋔             22D4
\lessdot            ⋖             22D6
\gtrdot             ⋗             22D7
\lll                ⋘             22D8
\ggg                ⋙             22D9
